Gender,Race/Hispanic,Language,Current_Grade,Counselor,Grade_12_Year,City,State,ZIP,HH_Language,Translation_Req,PGP,Credential_Type,2017,2018,2019,2020,2021,2-D_Art_and_Design,Biology_AP_Exam,Calculus_AB,Calculus_BC,Calculus_BC:_AB_Subscore,Chemistry_AP_Exam,Computer_Science_Principles,Computer_Science_A,Chinese_Language_and_Culture,Drawing,English_Language_and_Composition,English_Literature_and_Composition,Environmental_Science,European_History,French_Language_and_Culture,Music_Aural_Subscore,Music_Non-Aural_Subscore,Music_Theory,Physics_1,Physics_C:_Electricity_and_Magnetism,Physics_C:_Mechanics,Spanish_Language_and_Culture,United_States_History,World_History:_Modern,Math_8_Final,Science_8_Final,English_8_Final,Math_9_Final,Science_9_Final,English_9_Final,Math_10_Final,Science_10_Final,English_10_Final,Math_11_Final,Science_11_Final,English_11_Final,Math_12_Final,Science_12_Final,English_12_Final,Math_Average,Science_Average,English_Average,Math_8_Course,Science_8_Course,English_8_Course,Math_9_Course,Science_9_Course,English_9_Course,Math_10_Course,Science_10_Course,English_10_Course,Math_11_Course,Science_11_Course,English_11_Course,Math_12_Course,Science_12_Course,English_12_Course,M_Math6,M_Math7,M_Math8,M_Algebra1,M_Geometry,M_Algebra2,M_Calculus,M_APCalculusAB,M_APCalculusBC,S_Science6,S_Science7,S_Science8,S_EarthScience,S_Biology,S_APBiology,S_Chemistry,S_APChemistry,S_Physics,S_AppliedPhysics,S_APPhysics,E_ELA6,E_ELA7,E_ELA8,E_ELA9,E_ELA10,E_ELA11,E_ELA12,E_APLanguage,E_APLiterature
Female,White/No,English,12,BL,2018,Brewster,NY,10509,English,No,Attend 4 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,91,82,74,83,78,70,85,86,88,74,86,68,90,88,77,84.6,84,MA0810,SC0810,EN0810,MA0910,SC0910,EN0910,MA1010,SC1010,EN1010,MA1170,SC1110,EN1110,MA1176,SC1210,EN1210,79,82,85,74,70,,,,,83,86,91,83,85,,74,,90,,,79,84,82,78,86,86,88,,
Female,White/No,English,12,BL,2015,North Salem,NY,10560,English,No,Attend 4 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,85,85,74,86,76,77,82,81,77,78,91,73,91,83,76.6,84.4,83.2,MA0810,SC0810,EN0810,MA0910,SC0910,EN0910,MA1010,SC1010,EN1010,MA1110,SC1110,EN1110,MA1210,SC0055,ENAP12,81,76,82,74,77,77,73,,,83,77,85,86,82,,78,,,,,80,80,85,76,81,91,83,,83
Female,White/Yes,English,12,BL,2009,Croton Falls,NY,10519,English,No,Attend 2 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,76,72,61,67,65,65,66,80,65,72,72,69,,88,63,70.25,75.4,1309,1205,1003,391,211,11,347,220,21,MA1160,SC0010,EN1110,MA0005,,EN1210,,60,55,,60,,,,,60,67,76,67,66,,,,,72,,64.67,70,72,65,52,72,88,,
Male,White/No,English,12,GC,2012,North Salem,NY,10560,English,No,Attend other postsecondary school in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,78,80,57,59,66,65,75,72,72,75,82,68,70,82,65.4,71.4,76.4,MA0820,SC0820,EN0830,MA0910,SC0920,EN0930,MA0920,SC0910,EN0935,MA0045,SC1020,EN1130,MA1130,SC0010,EN1220,65,78,65,65,,,,,,67,83,78,75,75,,,,,70,,84,84,,,,,82,,
Male,White/Yes,English,8,JD,,Croton Falls,NY,10519,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,82,,,,,,,,85,82,,,,,,,,,,82,81,,,,,,,
Male,White/No,English,12,GC,2016,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,85,87,81,85,76,83,81,80,68,82,86,87,92,94,79.8,85,84.6,MA0810,SC0810,EN0810,MA0910,SC0910,EN0910,MA0040,SC1010,EN1010,MA1120,SC1110,EN1110,MA0080,SC1210,EN1210,80,77,80,81,83,68,,,,77,77,85,85,81,,82,,92,,,79,73,87,76,80,86,94,,
Female,Multiracial/No,English,12,GC,2012,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents with Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,95,83,85,88,84,86,88,84,78,81,87,87,96,90,84.6,89.6,85.6,MA0810,SC0810,EN0810,MA0910,SC0910,EN0910,MA1010,SC1010,EN1010,MA1110,SC1110,EN1110,MA1210,SC1210,ENAP12,83,82,87,85,86,78,87,,,84,81,95,88,88,,81,,96,,,80,82,83,84,84,87,90,,90
Male,White/No,English,9,JD,,Carmel,NY,10512,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,85,70,,,,,,,,,,,,,78,85,70,MA0810,SC0840,EN0810,,,,,,,,,,,,,85,78,78,,,,,,,83,89,85,85,,,,,,,,74,73,70,,,,,,
Male,White/No,English,12,GC,2015,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,92,90,87,87,89,81,83,92,91,82,90,79,85,92,84.4,85.8,90.6,MA0840,SC0840,EN0810,MA1010,SC1040,EN0940,MA1110,SC1140,EN1040,MA1210,SCAP10,ENAP11,MAAP10,SC1210,ENAP12,92,89,84,84,87,81,91,79,,90,87,92,92,87,82,83,,85,,,89,84,90,89,92,90,92,90,92
Female,White/No,English,12,BL,2019,Brewster,NY,10509,English,No,Attend 4 Year college outside NYS,Regents with Honors,,,75542488,5Z3W72Y8,,,,3,,,3,,,,,2,,,,,,,,,,,,,,95,97,96,91,90,91,90,90,92,93,90,94,85,97,99,90.8,92.8,94.4,MA0810,SC0840,EN0810,MA0910,SC1040,EN0940,MA1040,SC1140,EN1040,MA1140,SCAP20,ENAP11,MAAP10,SC0050,ENAP12,94,94,95,91,90,93,,85,,96,95,97,97,90,,90,90,,,,96,91,96,91,92,94,99,94,99
Male,White/No,English,12,,2017,Brewster,NY,10509,English,No,,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,87,83,93,90,85,92,85,78,90,,87,91.75,87.33333333,83.25,,,,m9008,SC1010,EN0910,MA1150,SC0055,EN1010,MA1010,SC0030,EN1110,MA1170,,EN1210,,,,,92,,,,,,,,,87,,,,,,,,,,83,85,78,87,,
Female,White/No,English,9,JD,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,87,94,,,,,,,,,,,,,90,87,94,MA0810,SC0840,EN0810,,,,,,,,,,,,,90,92,90,,,,,,,84,86,87,87,,,,,,,,90,90,94,,,,,,
Female,White/No,English,12,GC,2009,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Designation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,83,84,75,87,78,80,89,83,87,74,90,95,98,93,84.2,86.2,85.6,1309,1205,1003,324,211,11,349,220,21,MA1110,SC1110,EN1110,MA1210,SC1210,EN1210,81.67,82,84,75,80,87,95,,,80,86,83,87,89,,74,,98,,,85.33,87,84,78,83,90,93,,
Female,White/No,English,12,JD,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,94,88,,,,,,,,,,,,,81,94,88,MA0840,SC0840,EN0810,,,,,,,,,,,,,93,93,81,81,,,,,,92,91,94,94,,,,,,,,91,86,88,,,,,,
Male,White/No,English,6,JG,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,White/No,English,12,GC,2016,Brewster,NY,10509,English,No,Attend 4 Year college outside NYS,Regents,70814650,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,82,92,90,83,87,87,87,87,89,82,85,88,92,96,96,85.2,89.4,90,MA0810,SC0810,EN0810,MA0910,SC0910,EN0940,MA0040,SC1010,EN1040,MA1120,SC1110,ENAP11,MA0080,SC1210,ENAP12,86,83,82,83,87,82,,,,86,83,92,87,87,,85,,96,,,87,83,90,87,89,88,96,88,96
Male,White/No,English,9,JD,,Brewster,NY,10509,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,90,89,,,,,,,,,,,,,83,90,89,MA0840,SC0840,EN0810,,,,,,,,,,,,,91,88,83,83,,,,,,88,85,90,90,,,,,,,,88,88,89,,,,,,
Female,White/No,English,11,,,Croton Falls,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,White/No,English,12,BL,2016,Brewster,NY,10509,English,No,Attend 4 Year college in NYS,Regents,70814676,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,81,90,91,87,90,86,82,76,90,87,87,91,82,96,95,83.8,87.8,90.6,MA0840,SC0840,EN0810,MA1010,SC1040,EN0940,MA1110,SC1140,EN1040,MA1210,SCAP30,ENAP11,MA1240,SC1210,ENAP12,94,87,81,81,87,82,82,,,90,91,90,90,90,,76,,96,,,90,88,91,86,90,91,95,91,95
Female,White/No,English,11,GC,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,97,98,100,97,100,98,99,100,,,,,,,97.33333333,97.66666667,99.33333333,MA0840,SC0840,EN0810,MA1040,SC1040,EN0940,MA1140,SC1140,EN1040,,,,,,,97,97,94,94,100,98,,,,99,98,97,97,97,,99,,,,,98,97,98,100,100,,,,
Male,White/No,English,12,JD,2019,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents with Honors,,39609339,75541465,VW826252,,,,,,,,,,,,5,4,,3,,,,,,,,4,5,5,85,89,92,84,90,92,90,79,91,87,96,96,92,,98,87.6,88.5,93.8,MA0840,SC0840,EN0810,MA1010,SC1010,EN0940,MA1110,SC1140,EN1040,MA1210,SC0055,ENAP11,MA1240,,ENAP12,93,92,85,85,84,90,92,,,89,88,89,89,90,,79,,,,,91,90,92,92,91,96,98,96,98
Male,White/No,English,11,GC,,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,93,88,66,91,90,0,70,75,,,,,,,46.66666667,84.66666667,84.33333333,MA0840,SC0810,EN0810,MA1010,SC0910,EN0910,MA0070,SC1040,EN1010,,,,,,,89,87,74,74,66,,,,,84,83,93,91,70,,,,,,,92,89,88,90,75,,,,
Female,White/No,English,12,BL,2007,North Salem,NY,10560,English,No,Attend 4 Year college in NYS,Regents Diploma with Adv Designation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,87,89,83,85,86,90,86,80,82,85,87,93,78,86,86.2,84.2,85.6,1309,1205,1003,311,211,11,314,220,57,318,231,31,351,240,41,83,88,83,83,90,82,85,,,82,87,87,85,86,,85,,78,,,83,87,89,86,83,87,86,,
Male,White/No,English,12,BL,2011,Brewster,NY,10509,English,No,Attend 2 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,70,66,0,72,67,68,73,83,,36,,44.33333333,62.75,72,,,,MA0920,SC0920,EN0920,MA0050,SC1020,EN1020,MA0075,SC0035,EN1130,,SC0055,,76,65,76,65,,,,,,,,86,70,72,,,,,,,,76,75,66,67,,,,
Female,White/No,English,12,BL,,Purdys,NY,10578,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,69,80,85,83,76,88,78,86,91,,83,,,,83.5,76.66666667,81.25,1309,1205,1003,391,211,11,347,220,21,MA0040,,EN1110,,,,74.5,71,70,,91,,,,,70,70,69,83,78,,,,,,,76,78,80,76,86,83,,,
Male,White/No,English,11,JD,,Croton Falls,NY,10519,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,86,77,77,86,75,76,76,75,,,,,,,78.66666667,82.66666667,75.66666667,MA0810,SC0840,EN0810,MA0910,SC1010,EN0910,MA1010,SC1110,EN1010,,,,,,,84,80,83,77,76,,,,,82,86,86,86,86,,76,,,,,77,82,77,75,75,,,,
Male,White/No,English,12,BL,2016,Somers,NY,10589,English,No,Attend 4 Year college outside NYS,Regents with Honors,70803887,,,,,,,,5,5,,,,,,,4,,,,,,,,,,3,,,98,99,96,100,98,99,99,99,98,97,99,99,95,99,99,97.8,98.8,98.2,MA0840,SC0840,EN0810,MA1040,SC1040,EN0940,MA1140,SC1140,EN1040,MAAP10,SCAP20,ENAP11,MAAP20,SC1210,ENAP12,99,99,98,98,100,99,,97,95,98,98,99,99,98,,99,99,99,,,97,95,96,99,98,99,99,99,99
Male,White/No,English,12,,2008,North Salem,NY,10560,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,71,60,58,65,65,30,50,43,80,,87,57,62,63.75,,,,1570,214,11,314,220,21,314,239,31,MA0020,,EN1210,,,73,73,30,,,,,,,,,65,,71,,,,,,,,70,65,55,87,,
Male,White/No,English,12,GC,2010,Brewster,NY,10509,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Designation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,80,85,76,91,75,73,80,74,82,69,75,52,87,88,72.4,81.4,79.4,1309,1205,1003,324P,211,11P,MA1010,SC1040,EN1010,MA0070,SC1110,EN1110,MA1110,SC1210,EN1210,88,,79,76,73,52,,,,88,,80,91,80,,69,,87,,,84,,85,75,74,75,88,,
Male,White/No,English,12,BL,2016,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents with Honors,70814668,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,71,86,84,78,86,85,79,84,90,73,91,95,87,,95,77.6,86.75,89.8,MA0840,SC0840,EN0810,MA1010,SC1010,EN0940,MA1120,SC1110,EN1010,MA1210,SC1210,ENAP11,MA0095,,ENAP12,88,82,71,71,78,79,73,,,86,83,86,86,86,,84,,91,,,91,86,84,85,90,95,95,95,95
Male,White/No,English,12,GC,2012,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents with Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,92,90,81,89,80,66,75,80,78,95,77,65,,88,74.4,87.75,83,MA0840,SC0840,EN0810,MA1010,SC1040,EN0940,MA1110,SC1140,EN1010,MA1210,SC1210,EN1110,MAAP10,,EN1210,94,92,82,82,81,66,78,65,,90,90,92,92,89,,75,,95,,,90,90,90,80,80,77,88,,
Male,White/No,English,12,BL,2008,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents Diploma with Adv Designation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,88,89,81,87,82,80,87,91,92,90,91,81,81,92,85.4,86.6,89,1708,1204,1003,310,221,10,341,237,21,319P,230,35P,MAAP10,SCAP20,ENAP12,93,82,86,81,80,,92,81,,93,94,88,88,87,90,87,81,98,,,91,88,89,82,91,91,92,91,92
Female,White/No,English,12,GC,2015,Brewster,NY,10509,English,No,Attend 4 Year college outside NYS,Regents with Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,93,93,86,85,90,78,81,94,93,95,92,83,99,100,86.2,90.6,93.8,MA0840,SC0840,EN0810,MA1040,SC1010,EN0940,MA1110,SC1110,EN1040,MA1210,SC1210,ENAP11,MAAP10,SC0050,ENAP12,96,95,91,91,86,78,93,83,,94,92,93,93,85,,81,,95,,,95,92,93,90,94,92,100,92,100
Male,White/No,English,12,BL,2010,Brewster,NY,10509,English,No,Attend 2 Year college in NYS,Regents Diploma with Adv Designation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,75,76,70,78,76,72,81,69,60,59,65,,,,69.5,73.25,71.5,1309,1205,1003,324,211,11,349,SC1040,21,MA1110,SC1110,EN1110,,,,92.67,70,76,70,72,60,,,,70,81,75,78,81,,59,,,,,87,77,76,76,69,65,,,
Male,White/No,English,12,BL,2015,Carmel,NY,10512,English,No,Attend 4 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,88,83,87,94,85,90,88,89,81,90,96,79,92,97,82.8,90.4,90,MA0810,SC0810,EN0810,MA0915,SC0910,EN0910,MA1010,SC1040,EN1010,MA1110,SC1110,EN1110,MA1210,SC1210,EN1210,80,80,77,,90,81,79,,,78,85,88,94,88,,90,,92,,,79,76,83,85,89,96,97,,
Male,White/No,English,12,GC,2012,Brewster,NY,10509,English,No,Attend 4 Year college outside NYS,Regents with Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,88,86,84,92,89,83,93,88,75,75,94,93,96,96,83.4,88.8,90.6,MA0810,SC0810,EN0820,MA0915,SC0920,EN0920,MA1010,SC1020,EN1020,MA1110,SC1110,EN1120,MA1210,SC1210,EN1220,84,83,82,,83,75,93,,,,85,88,92,93,,75,,96,,,86,88,86,89,88,94,96,,
Male,White/No,English,12,,,Somers,NY,10589,English,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,97,94,,,,,,,,,,,,,90,97,94,MA0810,SC0840,EN0810,,,,,,,,,,,,,91,86,90,,,,,,,91,92,97,97,,,,,,,,91,92,94,,,,,,
Female,White/Yes,English,12,BL,2014,North Salem,NY,10560,English,No,Attend 4 Year college in NYS,Regents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,83,85,77,82,85,74,82,88,65,65,89,70,90,93,74.6,80.4,88,MA0810,SC0810,EN0810,MA0910,SC0910,EN0910,MA1010,SC1010,EN1010,MA1110,SC1110,EN1110,MA1210,SC1210,EN1210,90,75,87,77,74,65,70,,,78,82,83,82,82,,65,,90,,,86,77,85,85,88,89,93,,
Male,White/No,English,12,BL,2017,North Salem,NY,10560,English,No,Attend 4 Year college outside NYS,Regents with Honors,71196453,39609266,,,,,,,,,,,,,,3,3,,,,,,,,,,,4,4,87,93,91,84,93,90,81,90,93,81,95,92,83,,98,83.2,92.75,92.8,MA0840,SC0840,EN0810,MA1010,SC1040,EN0940,MA1110,SC1110,EN1040,MA1210,SC1210,ENAP11,MA1240,,ENAP12,94,93,87,87,84,81,83,,,92,91,93,93,93,,90,,95,,,94,94,91,90,93,92,98,92,98
